0.2.262.1.10,Telesec
2.16.840.1.101.2.1.12.0.3,kafka
2.16.840.1.101.2.1.12.0.3.0,kafkaSecurityCategories
2.16.840.1.101.2.1.12.0.3.0.1,kafkaTagSetName1
2.16.840.1.101.2.1.12.0.3.0.2,kafkaTagSetName2
2.16.840.1.101.2.1.12.0.3.0.3,kafkaTagSetName3
2.16.840.1.101.2.1.12.1.1,tcp1
2.16.840.1.101.3.1,slabel
2.16.840.1.101.3.2,pki
2.16.840.1.101.3.2.1,GAK policyIdentifier
2.16.840.1.101.3.2.1.3.1,FBCA-Rudimentary policyIdentifier
2.16.840.1.101.3.2.1.3.2,FBCA-Basic policyIdentifier
2.16.840.1.101.3.2.1.3.3,FBCA-Medium policyIdentifier
2.16.840.1.101.3.2.1.3.4,FBCA-High policyIdentifier
2.16.840.1.101.3.2.2,GAK
2.16.840.1.101.3.2.2.1,kRAKey
2.16.840.1.101.3.2.3,extensions
2.16.840.1.101.3.2.3.1,kRTechnique
2.16.840.1.101.3.2.3.2,kRecoveryCapable
2.16.840.1.101.3.2.3.3,kR
2.16.840.1.101.3.2.4,keyrecoveryschemes
2.16.840.1.101.3.2.5,krapola
2.16.840.1.101.3.3,arpa
2.16.840.1.101.3.4,nistAlgorithm
2.16.840.1.101.3.4.1,aes
2.16.840.1.101.3.4.1.1,aes128-ECB
2.16.840.1.101.3.4.1.2,aes128-CBC
2.16.840.1.101.3.4.1.3,aes128-OFB
2.16.840.1.101.3.4.1.4,aes128-CFB
2.16.840.1.101.3.4.1.21,aes192-ECB
2.16.840.1.101.3.4.1.22,aes192-CBC
2.16.840.1.101.3.4.1.23,aes192-OFB
2.16.840.1.101.3.4.1.24,aes192-CFB
2.16.840.1.101.3.4.1.41,aes256-ECB
2.16.840.1.101.3.4.1.42,aes256-CBC
2.16.840.1.101.3.4.1.43,aes256-OFB
2.16.840.1.101.3.4.1.44,aes256-CFB
2.16.840.1.101.3.4.2.1,sha2-256
2.16.840.1.101.3.4.2.2,sha2-384
2.16.840.1.101.3.4.2.3,sha2-512
2.16.840.1.113719.1.2.8,novellAlgorithm
2.16.840.1.113719.1.2.8.22,desCbcIV8
2.16.840.1.113719.1.2.8.23,desCbcPadIV8
2.16.840.1.113719.1.2.8.24,desEDE2CbcIV8
2.16.840.1.113719.1.2.8.25,desEDE2CbcPadIV8
2.16.840.1.113719.1.2.8.26,desEDE3CbcIV8
2.16.840.1.113719.1.2.8.27,desEDE3CbcPadIV8
2.16.840.1.113719.1.2.8.28,rc5CbcPad
2.16.840.1.113719.1.2.8.29,md2WithRSAEncryptionBSafe1
2.16.840.1.113719.1.2.8.30,md5WithRSAEncryptionBSafe1
2.16.840.1.113719.1.2.8.31,sha1WithRSAEncryptionBSafe1
2.16.840.1.113719.1.2.8.32,LMDigest
2.16.840.1.113719.1.2.8.40,MD2
2.16.840.1.113719.1.2.8.50,MD5
2.16.840.1.113719.1.2.8.51,IKEhmacWithSHA1-RSA
2.16.840.1.113719.1.2.8.52,IKEhmacWithMD5-RSA
2.16.840.1.113719.1.2.8.69,rc2CbcPad
2.16.840.1.113719.1.2.8.82,SHA-1
2.16.840.1.113719.1.2.8.92,rc2BSafe1Cbc
2.16.840.1.113719.1.2.8.95,MD4
2.16.840.1.113719.1.2.8.130,MD4Packet
2.16.840.1.113719.1.2.8.131,rsaEncryptionBsafe1
2.16.840.1.113719.1.2.8.132,NWPassword
2.16.840.1.113719.1.2.8.133,novellObfuscate-1
2.16.840.1.113719.1.9,pki
2.16.840.1.113719.1.9.4,pkiAttributeType
2.16.840.1.113719.1.9.4.1,securityAttributes
2.16.840.1.113719.1.9.4.2,relianceLimit
2.16.840.1.113730.1,cert-extension
2.16.840.1.113730.1.1,netscape-cert-type
2.16.840.1.113730.1.2,netscape-base-url
2.16.840.1.113730.1.3,netscape-revocation-url
2.16.840.1.113730.1.4,netscape-ca-revocation-url
2.16.840.1.113730.1.7,netscape-cert-renewal-url
2.16.840.1.113730.1.8,netscape-ca-policy-url
2.16.840.1.113730.1.9,HomePage-url
2.16.840.1.113730.1.10,EntityLogo
2.16.840.1.113730.1.11,UserPicture
2.16.840.1.113730.1.12,netscape-ssl-server-name
2.16.840.1.113730.1.13,netscape-comment
2.16.840.1.113730.2,data-type
2.16.840.1.113730.2.1,dataGIF
2.16.840.1.113730.2.2,dataJPEG
2.16.840.1.113730.2.3,dataURL
2.16.840.1.113730.2.4,dataHTML
2.16.840.1.113730.2.5,certSequence
2.16.840.1.113730.2.6,certURL
2.16.840.1.113730.3,directory
2.16.840.1.113730.3.1,ldapDefinitions
2.16.840.1.113730.3.1.1,carLicense
2.16.840.1.113730.3.1.2,departmentNumber
2.16.840.1.113730.3.1.3,employeeNumber
2.16.840.1.113730.3.1.4,employeeType
2.16.840.1.113730.3.2.2,inetOrgPerson
2.16.840.1.113730.4.1,serverGatedCrypto
2.16.840.1.113733.1.6.3,verisignCZAG
2.16.840.1.113733.1.6.6,verisignInBox
2.16.840.1.113733.1.6.11,Unknown Verisign VPN extension
2.16.840.1.113733.1.6.13,Unknown Verisign VPN extension
2.16.840.1.113733.1.6.15,Verisign serverID
2.16.840.1.113733.1.7.1.1,Verisign policyIdentifier
2.16.840.1.113733.1.7.1.1.1,verisignCPSv1notice
2.16.840.1.113733.1.7.1.1.2,verisignCPSv1nsi
2.16.840.1.113733.1.8.1,Verisign SGC CA?
2.23.42.0,contentType
2.23.42.0.0,PANData
2.23.42.0.1,PANToken
2.23.42.0.2,PANOnly
2.23.42.1,msgExt
2.23.42.2,field
2.23.42.2.0,fullName
2.23.42.2.1,givenName
2.23.42.2.2,familyName
2.23.42.2.3,birthFamilyName
2.23.42.2.4,placeName
2.23.42.2.5,identificationNumber
2.23.42.2.6,month
2.23.42.2.7,date
2.23.42.2.8,address
2.23.42.2.9,telephone
2.23.42.2.10,amount
2.23.42.2.7.11,accountNumber
2.23.42.2.7.12,passPhrase
2.23.42.3,attribute
2.23.42.3.0,cert
2.23.42.3.0.0,rootKeyThumb
2.23.42.3.0.1,additionalPolicy
2.23.42.4,algorithm
2.23.42.5,policy
2.23.42.5.0,root
2.23.42.6,module
2.23.42.7,certExt
2.23.42.7.0,hashedRootKey
2.23.42.7.1,certificateType
2.23.42.7.2,merchantData
2.23.42.7.3,cardCertRequired
2.23.42.7.4,tunneling
2.23.42.7.5,setExtensions
2.23.42.7.6,setQualifier
2.23.42.8,brand
2.23.42.8.1,IATA-ATA
2.23.42.8.4,VISA
2.23.42.8.5,MasterCard
2.23.42.8.30,Diners
2.23.42.8.34,AmericanExpress
2.23.42.8.6011,Novus
2.23.42.9,vendor
2.23.42.9.0,GlobeSet
2.23.42.9.1,IBM
2.23.42.9.2,CyberCash
2.23.42.9.3,Terisa
2.23.42.9.4,RSADSI
2.23.42.9.5,VeriFone
2.23.42.9.6,TrinTech
2.23.42.9.7,BankGate
2.23.42.9.8,GTE
2.23.42.9.9,CompuSource
2.23.42.9.10,Griffin
2.23.42.9.11,Certicom
2.23.42.9.12,OSS
2.23.42.9.13,TenthMountain
2.23.42.9.14,Antares
2.23.42.9.15,ECC
2.23.42.9.16,Maithean
2.23.42.9.17,Netscape
2.23.42.9.18,Verisign
2.23.42.9.19,BlueMoney
2.23.42.9.20,Lacerte
2.23.42.9.21,Fujitsu
2.23.42.9.22,eLab
2.23.42.9.23,Entrust
2.23.42.9.24,VIAnet
2.23.42.9.25,III
2.23.42.9.26,OpenMarket
2.23.42.9.27,Lexem
2.23.42.9.28,Intertrader
2.23.42.9.29,Persimmon
2.23.42.9.30,NABLE
2.23.42.9.31,espace-net
2.23.42.9.32,Hitachi
2.23.42.9.33,Microsoft
2.23.42.9.34,NEC
2.23.42.9.35,Mitsubishi
2.23.42.9.36,NCR
2.23.42.9.37,e-COMM
2.23.42.9.38,Gemplus
2.23.42.10,national
2.23.42.10.392,Japan
2.54.1775.2,hashedRootKey
2.54.1775.3,certificateType
2.54.1775.4,merchantData
2.54.1775.5,cardCertRequired
2.54.1775.6,tunneling
2.54.1775.7,setQualifier
2.54.1775.99,set-data
